,model,network_type,Network,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
48,CNN-VGG-CIFAR10+DROPOUT,cnn,"Dropout, Pruning",6.125112374293167,0.479573864666017,50,7.998600507016014,0.2775894524490006,-6.74913299548746,0.0196078431372549,0.9049366116523743,0.4996287263200801,0.9079999923706055,0.4949118902411642
49,CNN-VGG-CIFAR10+DROPOUT,cnn,"Dropout, Pruning",5.800152251356654,0.5344556039191216,50,7.975171703913477,0.2040379827444857,-10.659875300181602,0.0196078431372549,0.9043869972229004,0.49886765663440413,0.9079999923706055,0.49157943982112257
50,CNN-VGG-CIFAR10+DROPOUT+L2REG,cnn,"Dropout, L2 Reg, Pruning",7.582931478522801,0.29125072104289074,50,7.96319093746155,0.19284818287483163,-1.9718073215424425,0.0392156862745098,0.9054579734802246,0.5119378245867404,0.9050999879837036,0.5244745578192458
51,CNN-VGG-CIFAR10+DROPOUT+L2REG,cnn,"Dropout, L2 Reg, Pruning",6.698692957886396,0.39569712147146213,50,8.042355944311492,0.2630634781913933,-5.1077519223231205,0.0196078431372549,0.9054980874061584,0.5047087121323435,0.9009000062942505,0.5316447306282913
52,CNN-VGG-CIFAR10+DROPOUT+L2REG,cnn,"Dropout, L2 Reg, Pruning",5.665207228442606,0.5590962974622606,50,7.978233520447258,0.1861367044584221,-12.426492124347886,0.0196078431372549,0.9043232202529907,0.5154397187798775,0.9002000093460083,0.5421847919874554
53,CNN-VGG-CIFAR10+DROPOUT+L2REG,cnn,"Dropout, L2 Reg, Pruning",4.9735730349159235,0.7063761721961781,50,7.987260420683064,0.14211301790852915,-21.206272515491133,0.0196078431372549,0.9051973223686218,0.5111983120537049,0.9125999808311462,0.49805382686325267
54,CNN-VGG-CIFAR10+DROPOUT+L2REG,cnn,"Dropout, L2 Reg, Pruning",5.756269121610244,0.5423418143315674,50,7.998338990579896,0.13604270384859685,-16.480632959668835,0.0196078431372549,0.905879020690918,0.5072323051178191,0.8934000134468079,0.5550000320507001
55,CNN-VGG-CIFAR10+MOD-INIT,cnn,"Clusterable Init, Pruning",8.027008733371318,0.2474764509792703,50,4.130486556794903,0.207680681465852,18.762082968304888,1.0,0.9737527966499329,0.2140936324200188,0.9047999978065491,0.49434556085852127
56,CNN-VGG-CIFAR10+MOD-INIT,cnn,"Clusterable Init, Pruning",7.887568548524395,0.2606906948685066,50,3.1711391875164106,0.2264861504018046,20.82436101563235,1.0,0.9731712937355042,0.2202856922124799,0.9128000140190125,0.48557873126826706
57,CNN-VGG-CIFAR10+MOD-INIT,cnn,"Clusterable Init, Pruning",9.323248094185494,0.14355254085128763,50,3.4851665822085858,0.23039924309480145,25.33897869436462,1.0,0.9728365540504456,0.22332102767167947,0.9021999835968018,0.5214083217367341
58,CNN-VGG-CIFAR10+MOD-INIT,cnn,"Clusterable Init, Pruning",8.069123006146006,0.24357523059568953,50,3.181228912573293,0.23741515643212072,20.587961472334264,1.0,0.9738330245018005,0.21660106224932654,0.8992999792098999,0.5389068070091779
59,CNN-VGG-CIFAR10+MOD-INIT,cnn,"Clusterable Init, Pruning",7.751008619805096,0.2740928044730873,50,3.9408475742857365,0.24251191483048817,15.711232366387437,1.0,0.974534809589386,0.21510215547744915,0.8916000127792358,0.5680709028545814
